date,id,event_id,start,end,region_x,region_y
20190412,80416209001,118-0_,2019-04-13T04:29:16.000,2019-04-13T04:31:16.000,-137.65399172409616,272.4809816747094
20190412,80416209001,123-0_119-0,2019-04-13T04:30:46.000,2019-04-13T04:36:10.000,-55.430319633615,306.03413070629364
20190412,80416209001,123-1_,2019-04-13T04:30:04.000,2019-04-13T04:32:04.000,-61.083966110390975,296.20172028493914
20190412,80416209001,151-0_151-0,2019-04-13T04:35:34.000,2019-04-13T04:37:34.000,-217.29661023673543,270.5144097598311
20190412,80416209001,271-0_270-0,2019-04-13T04:59:40.000,2019-04-13T05:01:40.000,-38.34647437415697,252.9391161854238
20190412,80416210001,123-0_123-0,2019-04-13T06:07:24.000,2019-04-13T06:12:00.000,-121.06177357879915,339.7100714877225
20190412,80416210001,147-0_144-0,2019-04-13T06:12:12.000,2019-04-13T06:14:36.000,-130.8941993492681,208.32448597771835
20190412,80416210001,26-0_25-0,2019-04-13T05:47:48.000,2019-04-13T05:49:48.000,-91.44158780152338,262.8944139631333
20190412,80416211001,120-0_120-0,2019-04-13T07:43:27.000,2019-04-13T07:47:27.000,-53.83254996168034,312.54810096938365
20190412,80416211001,140-0_,2019-04-13T07:46:45.000,2019-04-13T07:48:45.000,-58.38004824111067,317.95592243764025
20190412,80416211001,149-0_,2019-04-13T07:48:57.000,2019-04-13T07:50:57.000,-195.4194766501896,271.62058436965344
20190412,80416211001,149-1_149-1,2019-04-13T07:48:33.000,2019-04-13T07:50:33.000,-59.85491253595683,303.6989320795362
20190412,80416211001,25-0_26-0,2019-04-13T07:23:57.000,2019-04-13T07:25:57.000,-172.1903805684633,272.72675762870557
20190412,80416211001,26-0_,2019-04-13T07:24:03.000,2019-04-13T07:26:03.000,-14.25702266526514,218.6485672526539
20190412,80416212001,120-0_,2019-04-13T09:20:06.000,2019-04-13T09:23:18.000,99.55334034970312,222.4586039157903
20190412,80416212001,133-0_119-0,2019-04-13T09:22:42.000,2019-04-13T09:24:54.000,-92.1790198635108,306.2799213667191
20190412,80416212001,141-0_,2019-04-13T09:23:54.000,2019-04-13T09:25:54.000,-43.01687817637685,214.96140613389696
20190412,80416213001,153-0_152-0,2019-04-13T11:03:04.000,2019-04-13T11:05:04.000,-74.35774441878493,212.50329227972327
20190412,80416213001,223-0_221-0,2019-04-13T11:16:58.000,2019-04-13T11:18:58.000,-31.09505786835598,240.40278822154548
20190412,80416213001,37-0_,2019-04-13T10:39:34.000,2019-04-13T10:41:34.000,-6.882700605365244,176.36915999886233
20200129,20513005001,129-0_129-0,2020-01-29T16:31:38.000,2020-01-29T16:34:02.000,598.7932707616625,135.80983973732114
20200129,20513005001,144-0_,2020-01-29T16:34:08.000,2020-01-29T16:36:08.000,609.8546589275518,137.65339005067202
20200129,20513005001,152-0_,2020-01-29T16:35:26.000,2020-01-29T16:37:26.000,612.9272661316968,135.31819331320418
20200129,20513005001,157-0_,2020-01-29T16:37:08.000,2020-01-29T16:39:08.000,622.6367031020918,152.52483897298688
20200129,20513005001,187-0_187-0,2020-01-29T16:43:14.000,2020-01-29T16:45:26.000,632.5919457381543,179.44094811291825
20200129,20513005001,240-0_234-0,2020-01-29T16:53:14.000,2020-01-29T16:55:14.000,660.6140942208942,172.43530674406117
20200129,20513007001,187-0_188-0,2020-01-29T19:55:54.000,2020-01-29T19:57:54.000,648.6923936200404,177.84314392525192
20200129,20513008001,147-0_147-0,2020-01-29T21:21:59.000,2020-01-29T21:25:47.000,670.9380375697754,126.96055744119269
20200129,20513008001,204-0_203-0,2020-01-29T21:33:23.000,2020-01-29T21:38:11.000,682.9826338910091,172.18943662201775
20200129,20513008001,229-0_,2020-01-29T21:37:35.000,2020-01-29T21:39:35.000,700.6808077670496,169.48548642703747
